   8627 Dexamethasone,Dexamethasone
    339 Mometasone Furoate,Mometasone Furoate
    339 Clonazepam,Clonazepam
    334 Nubeqa,Darolutamide
    333 Metoclopramide Hcl,Metoclopramide Hcl
    332 Zarxio,Filgrastim-Sndz
    327 Metoprolol Tartrate,Metoprolol Tartrate
    327 Cephalexin,Cephalexin
    311 Diazepam,Diazepam
    311 Bosulif,Bosutinib
    310 Kisqali,Ribociclib Succinate
    303 Deferasirox,Deferasirox
    295 Meloxicam,Meloxicam
    291 Estradiol,Estradiol
    287 Spironolactone,Spironolactone
    287 Metformin Hcl,Metformin Hcl
    287 Celecoxib,Celecoxib
    287 Acetaminophen-Codeine,Acetaminophen With Codeine
    279 Hydroxyzine Hcl,Hydroxyzine Hcl
    278 Ibandronate Sodium,Ibandronate Sodium
    275 Tafinlar,Dabrafenib Mesylate
    274 Oxybutynin Chloride Er,Oxybutynin Chloride
    270 Memantine Hcl,Memantine Hcl
    268 Mekinist,Trametinib Dimethyl Sulfoxide
    268 Alecensa,Alectinib Hcl
    266 Retacrit,Epoetin Alfa-Epbx
    265 Methadone Hcl,Methadone Hcl
    262 Sodium Chloride,0.9 % Sodium Chloride
    251 Klor-Con M20,Potassium Chloride
    249 Xgeva,Denosumab
    241 Euthyrox,Levothyroxine Sodium
    232 Oxybutynin Chloride,Oxybutynin Chloride
    232 Gleevec,Imatinib Mesylate
    229 Zejula,Niraparib Tosylate
    217 Votrient,Pazopanib Hcl
    215 Silver Sulfadiazine,Silver Sulfadiazine
    211 Keytruda,Pembrolizumab
    199 Xtampza Er,Oxycodone Myristate
    199 Pradaxa,Dabigatran Etexilate Mesylate
    198 Jantoven,Warfarin Sodium
    196 Rosuvastatin Calcium,Rosuvastatin Calcium
    193 Lonsurf,Trifluridine/Tipiracil Hcl
    192 Synthroid,Levothyroxine Sodium
    191 Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12)
    188 Paroxetine Hcl,Paroxetine Hcl
    182 Carvedilol,Carvedilol
    175 Finasteride,Finasteride
    174 Erlotinib Hcl,Erlotinib Hcl
    170 Lupron Depot,Leuprolide Acetate
    170 Entecavir,Entecavir
    168 Amitriptyline Hcl,Amitriptyline Hcl
    167 Clopidogrel,Clopidogrel Bisulfate
    164 Simvastatin,Simvastatin
    162 Inqovi,Decitabine/Cedazuridine
    159 Braftovi,Encorafenib
    157 Pentoxifylline,Pentoxifylline
    153 Venlafaxine Hcl,Venlafaxine Hcl
    151 Posaconazole,Posaconazole
    148 Aranesp,Darbepoetin Alfa In Polysorbat
    146 Fulvestrant,Fulvestrant
    143 Pilocarpine Hcl,Pilocarpine Hcl
    142 Mektovi,Binimetinib
    142 Esomeprazole Magnesium,Esomeprazole Magnesium
    140 Methotrexate,Methotrexate Sodium
    139 Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosphate
    138 Metronidazole,Metronidazole
    137 Diclofenac Sodium,Diclofenac Sodium
    136 Methylphenidate Hcl,Methylphenidate Hcl
    133 Fluoxetine Hcl,Fluoxetine Hcl
    132 Fondaparinux Sodium,Fondaparinux Sodium
    132 Diphenhydramine Hcl,Diphenhydramine Hcl
    132 Baclofen,Baclofen
    131 Nitrofurantoin Mono-Macro,Nitrofurantoin Monohyd/M-Cryst
    127 Vitamin D2,Ergocalciferol (Vitamin D2)
    127 Fluticasone Propionate,Fluticasone Propionate
    126 Clobetasol Propionate,Clobetasol Propionate
    125 Dicyclomine Hcl,Dicyclomine Hcl
    123 Ursodiol,Ursodiol
    121 Amoxicillin,Amoxicillin
    116 Atovaquone,Atovaquone
    112 Atenolol,Atenolol
    110 Sunitinib Malate,Sunitinib Malate
    110 Prolia,Denosumab
    110 Oxbryta,Voxelotor
    110 Myrbetriq,Mirabegron
    109 Zytiga,Abiraterone Acetate
    109 Pegasys,Peginterferon Alfa-2a
    109 Cyclosporine Modified,"Cyclosporine
    108 Nivestym,Filgrastim-Aafi
    107 Lumakras,Sotorasib
    105 Opdivo,Nivolumab
    105 Ondansetron Hcl,Ondansetron Hcl/Pf
    102 Gammagard Liquid,Immun Glob G(Igg)/Gly/Iga Ov50
    100 Carboplatin,Carboplatin
     98 Tizanidine Hcl,Tizanidine Hcl
     98 Quetiapine Fumarate,Quetiapine Fumarate
     98 Clotrimazole-Betamethasone,Clotrimazole/Betamethasone Dip
     98 Bupropion Xl,Bupropion Hcl
     97 Paxlovid (Eua),Nirmatrelvir/Ritonavir
     97 Calquence,Acalabrutinib Maleate
     95 Neulasta Onpro,Pegfilgrastim
     94 Clonidine Hcl,Clonidine Hcl
     93 Triamterene-Hydrochlorothiazid,Triamterene/Hydrochlorothiazid
     93 Sandostatin Lar Depot,"Octreotide Acetate
     93 Aprepitant,Aprepitant
     91 Ropinirole Hcl,Ropinirole Hcl
     90 Iclusig,Ponatinib Hcl
     89 Alfuzosin Hcl Er,Alfuzosin Hcl
     88 Gilotrif,Afatinib Dimaleate
     88 Chlorhexidine Gluconate,Chlorhexidine Gluconate
     87 Piqray,Alpelisib
     86 Tacrolimus,Tacrolimus
     86 Lidocaine,Lidocaine
     85 Pravastatin Sodium,Pravastatin Sodium
     85 Naproxen,Naproxen
     85 Famotidine,Famotidine/Pf
     85 Afinitor,Everolimus
     84 Neulasta,Pegfilgrastim
     83 Xalkori,Crizotinib
     82 Voriconazole,Voriconazole
     81 Famciclovir,Famciclovir
     80 Meclizine Hcl,Meclizine Hcl
     80 Doptelet,Avatrombopag Maleate
     80 Dapsone,Dapsone
     79 Lorbrena,Lorlatinib
     78 Octagam,Immun Globg(Igg)/Malt/Iga Ov50
     78 Cholestyramine,Cholestyramine (With Sugar)
     77 Tukysa,Tucatinib
     77 Donepezil Hcl,Donepezil Hcl
     76 Premarin,"Estrogens
     75 Leucovorin Calcium,Leucovorin Calcium
     74 Tabrecta,Capmatinib Hydrochloride
     74 Danazol,Danazol
     73 Zoledronic Acid,Zoledronic Acid
     73 Darzalex Faspro,Daratumumab-Hyaluronidase-Fihj
     72 Stivarga,Regorafenib
     72 Penicillin V Potassium,Penicillin V Potassium
     71 Palonosetron Hcl,Palonosetron Hcl
     70 Doxycycline Monohydrate,Doxycycline Monohydrate
     69 Somatuline Depot,Lanreotide Acetate
     69 Naloxone Hcl,Naloxone Hcl
     69 Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide
     68 Zenpep,Lipase/Protease/Amylase
     68 Tibsovo,Ivosidenib
     68 Retevmo,Selpercatinib
     68 Cyclophosphamide,Cyclophosphamide
     67 Droxia,Hydroxyurea
     66 Erivedge,Vismodegib
     65 Medroxyprogesterone Acetate,Medroxyprogesterone Acetate
     65 Hydralazine Hcl,Hydralazine Hcl
     64 Tranexamic Acid,Tranexamic Acid
     64 Thalomid,Thalidomide
     64 Tecentriq,Atezolizumab
     64 Nifedipine Er,Nifedipine
     63 Colestipol Hcl,Colestipol Hcl
     62 Buspirone Hcl,Buspirone Hcl
     61 Methocarbamol,Methocarbamol
     60 Oxaliplatin,Oxaliplatin
     59 Rubraca,Rucaparib Camsylate
     59 Metformin Hcl Er,Metformin Hcl
     59 Gamunex-C,Immune Globul G/Gly/Iga Avg 46
     59 Fludrocortisone Acetate,Fludrocortisone Acetate
     58 Clotrimazole,Clotrimazole
     57 Tavalisse,Fostamatinib Disodium
     57 Symbicort,Budesonide/Formoterol Fumarate
     56 Ventolin Hfa,Albuterol Sulfate
     56 Mupirocin,Mupirocin
     56 Granisetron Hcl,Granisetron Hcl
     55 Mycophenolate Mofetil,Mycophenolate Mofetil
     55 Linzess,Linaclotide
     55 Akynzeo,Fosnetupitant/Palonosetron
     54 Cefdinir,Cefdinir
     53 Privigen,Immun Glob G(Igg)/Pro/Iga 0-50
     53 Januvia,Sitagliptin Phosphate
     53 Glipizide,Glipizide
     52 Midodrine Hcl,Midodrine Hcl
     52 Inrebic,Fedratinib Dihydrochloride
     52 Avastin,Bevacizumab
     51 Trelegy Ellipta,Fluticasone/Umeclidin/Vilanter
     51 Rezurock,Belumosudil Mesylate
     51 Paclitaxel,Paclitaxel
     50 Onureg,Azacitidine
     50 Fluorouracil,Fluorouracil
     50 Cyproheptadine Hcl,Cyproheptadine Hcl
     49 Fotivda,Tivozanib Hcl
     49 Cyclosporine,Cyclosporine
     49 Carisoprodol,Carisoprodol
     49 Bupropion Hcl Sr,Bupropion Hcl
     48 Scopolamine,Scopolamine
     48 Minocycline Hcl,Minocycline Hcl
     47 Terazosin Hcl,Terazosin Hcl
     47 Idhifa,Enasidenib Mesylate
     47 Fosaprepitant Dimeglumine,Fosaprepitant Dimeglumine
     46 Xermelo,Telotristat Etiprate
     45 Sumatriptan Succinate,Sumatriptan Succinate
     45 Calcitriol,Calcitriol
     44 Hydroxychloroquine Sulfate,Hydroxychloroquine Sulfate
     44 Ezetimibe,Ezetimibe
     44 Doxazosin Mesylate,Doxazosin Mesylate
     44 Docetaxel,Docetaxel
     44 Butalbital-Acetaminophen-Caffe,Butalb/Acetaminophen/Caffeine
     43 Risedronate Sodium,Risedronate Sodium
     43 Propranolol Hcl,Propranolol Hcl
     43 Neomycin Sulfate,Neomycin Sulfate
     43 Gemcitabine Hcl,Gemcitabine Hcl
     42 Jardiance,Empagliflozin
     42 Diltiazem 24hr Er (Cd),Diltiazem Hcl
     42 Bortezomib,Bortezomib
     41 Xospata,Gilteritinib Fumarate
     41 Perjeta,Pertuzumab
     41 Neupogen,Filgrastim
     41 Losartan-Hydrochlorothiazide,Losartan/Hydrochlorothiazide
     41 Glimepiride,Glimepiride
     41 Eszopiclone,Eszopiclone
     41 Bumetanide,Bumetanide
     40 Rituxan,Rituximab
     40 Octreotide Acetate,Octreotide Acetate
     40 Dutasteride,Dutasteride
     40 Dextroamphetamine-Amphetamine,Dextroamphetamine/Amphetamine
     40 Clindamycin Phosphate,Clindamycin Phosphate
     40 Cefuroxime,Cefuroxime Axetil
     40 Breo Ellipta,Fluticasone/Vilanterol
     39 Topiramate,Topiramate
     39 Sirolimus,Sirolimus
     39 Nexavar,Sorafenib Tosylate
     39 Mvasi,Bevacizumab-Awwb
     39 Lapatinib,Lapatinib Ditosylate
     39 Lansoprazole,Lansoprazole
     39 Eligard,Leuprolide Acetate
     39 Darzalex,Daratumumab
     39 Bexarotene,Bexarotene
     38 Velcade,Bortezomib
     38 Testosterone Cypionate,Testosterone Cypionate
     38 Solifenacin Succinate,Solifenacin Succinate
     38 Isosorbide Mononitrate Er,Isosorbide Mononitrate
     37 Irinotecan Hcl,Irinotecan Hcl
     37 Alunbrig,Brigatinib
     36 Zelboraf,Vemurafenib
     36 Reblozyl,Luspatercept-Aamt
     36 Glipizide Er,Glipizide
     36 Enalapril Maleate,Enalapril Maleate
     35 Nortriptyline Hcl,Nortriptyline Hcl
     34 Sildenafil Citrate,Sildenafil Citrate
     34 Levocetirizine Dihydrochloride,Levocetirizine Dihydrochloride
     34 Leukeran,Chlorambucil
     34 Ketoconazole,Ketoconazole
     34 Cresemba,Isavuconazonium Sulfate
     34 Azacitidine,Azacitidine
     33 Shingrix,Varicella-Zoster Ge/As01b/Pf
     33 Lantus Solostar,"Insulin Glargine
     33 Betamethasone Valerate,Betamethasone Valerate
     32 Tramadol Hcl-Acetaminophen,Tramadol Hcl/Acetaminophen
     32 Torsemide,Torsemide
     32 Tolterodine Tartrate Er,Tolterodine Tartrate
     32 Scemblix,Asciminib Hydrochloride
     32 Pemazyre,Pemigatinib
     32 Hizentra,Immun Glob G(Igg)/Pro/Iga 0-50
     32 Fenofibrate,Fenofibrate Nanocrystallized
     32 Azathioprine,Azathioprine
     31 Sps,Sodium Polystyrene Sulfon/Sorb
     31 Nplate,Romiplostim
     31 Herceptin,Trastuzumab
     31 Colchicine,Colchicine
     31 Betamethasone Dipropionate,Betamethasone Dipropionate
     31 Alimta,Pemetrexed Disodium
     30 Ziextenzo,Pegfilgrastim-Bmez
     30 Testosterone,Testosterone
     30 Olmesartan Medoxomil,Olmesartan Medoxomil
     30 Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosp/Pf
     30 Advair Diskus,Fluticasone Propion/Salmeterol
     29 Xpovio,Selinexor
     29 Olanzapine Odt,Olanzapine
     29 Clindamycin Hcl,Clindamycin Hcl
     29 Cefpodoxime Proxetil,Cefpodoxime Proxetil
     28 Zirabev,Bevacizumab-Bvzr
     28 Sancuso,Granisetron
     28 Estradiol (Twice Weekly),Estradiol
     27 Valsartan,Valsartan
     27 Trelstar,Triptorelin Pamoate
     27 Spiriva Handihaler,Tiotropium Bromide
     27 Silodosin,Silodosin
     27 Kyprolis,Carfilzomib
     27 Imfinzi,Durvalumab
     27 Arimidex,Anastrozole
     26 Toremifene Citrate,Toremifene Citrate
     26 Colesevelam Hcl,Colesevelam Hcl
     26 Besremi,Ropeginterferon Alfa-2b-Njft
     26 Anoro Ellipta,Umeclidinium Brm/Vilanterol Tr
     26 Amiodarone Hcl,Amiodarone Hcl
     25 Nerlynx,Neratinib Maleate
     25 Klor-Con M10,Potassium Chloride
     25 Kisqali Femara Co-Pack,Ribociclib Succinate/Letrozole
     25 Copiktra,Duvelisib
     25 Combivent Respimat,Ipratropium/Albuterol Sulfate
     24 Zydelig,Idelalisib
     24 Zolpidem Tartrate Er,Zolpidem Tartrate
     24 Trulicity,Dulaglutide
     24 Estradiol (Once Weekly),Estradiol
     24 Doxepin Hcl,Doxepin Hcl
     23 Yuvafem,Estradiol
     23 Vancomycin Hcl,Vancomycin Hcl
     23 Tenofovir Disoproxil Fumarate,Tenofovir Disoproxil Fumarate
     23 Ramipril,Ramipril
     23 Lovastatin,Lovastatin
     23 Imiquimod,Imiquimod
     23 Constulose,Lactulose
     22 Risperidone,Risperidone
     22 Prevymis,Letermovir
     22 Latanoprost,Latanoprost
     22 Lamotrigine,Lamotrigine
     22 Klor-Con 10,Potassium Chloride
     22 Kanjinti,Trastuzumab-Anns
     22 Endari,Glutamine
     22 Divalproex Sodium,Divalproex Sodium
     22 Chlorthalidone,Chlorthalidone
     22 Benazepril Hcl,Benazepril Hcl
     21 Savaysa,Edoxaban Tosylate
     21 Pramipexole Dihydrochloride,Pramipexole Di-Hcl
     20 Vascepa,Icosapent Ethyl
     20 Progesterone,"Progesterone
     20 Levemir Flextouch,Insulin Detemir
     20 Fenofibrate,Fenofibrate
     20 Ayvakit,Avapritinib
     20 Amlodipine Besylate-Benazepril,Amlodipine Besylate/Benazepril
     20 Abraxane,Paclitaxel Protein-Bound
     19 Yonsa,"Abiraterone Acet
     19 Rydapt,Midostaurin
     19 Ruxience,Rituximab-Pvvr
     19 Movantik,Naloxegol Oxalate
     19 Magnesium Sulfate,Magnesium Sulfate
     19 Incruse Ellipta,Umeclidinium Bromide
     19 Fulphila,Pegfilgrastim-Jmdb
     19 Febuxostat,Febuxostat
     19 Digoxin,Digoxin
     19 Cotellic,Cobimetinib Fumarate
     19 Budesonide Dr,Budesonide
     18 Xifaxan,Rifaximin
     18 Truxima,Rituximab-Abbs
     18 Novolog Flexpen,Insulin Aspart
     18 Irbesartan,Irbesartan
     18 Hydroxyzine Pamoate,Hydroxyzine Pamoate
     18 Carbidopa-Levodopa,Carbidopa/Levodopa
     18 Aripiprazole,Aripiprazole
     17 Trazimera,Trastuzumab-Qyyp
     17 Sutent,Sunitinib Malate
     17 Phenytoin Sodium Extended,Phenytoin Sodium Extended
     17 Ozempic,Semaglutide
     17 Mercaptopurine,Mercaptopurine
     17 Labetalol Hcl,Labetalol Hcl
     17 Iressa,Gefitinib
     17 Ipratropium Bromide,Ipratropium Bromide
     17 Gammaplex,Immun Glob G(Igg)/Gly/Iga 0-50
     17 Fluocinonide,Fluocinonide
     17 Femara,Letrozole
     16 Nystop,Nystatin
     16 Kadcyla,Ado-Trastuzumab Emtansine
     16 Empaveli,Pegcetacoplan
     16 Bupropion Hcl,Bupropion Hcl
     15 Welireg,Belzutifan
     15 Vitrakvi,Larotrectinib Sulfate
     15 Tradjenta,Linagliptin
     15 Pioglitazone Hcl,Pioglitazone Hcl
     15 Pamidronate Disodium,Pamidronate Disodium
     15 Nebivolol Hcl,Nebivolol Hcl
     15 Lysodren,Mitotane
     15 Jadenu,Deferasirox
     15 Glycopyrrolate,Glycopyrrolate
     15 Armour Thyroid,"Thyroid
     14 Varubi,Rolapitant Hcl
     14 Rybelsus,Semaglutide
     14 Pemetrexed Disodium,Pemetrexed Disodium
     14 Liothyronine Sodium,Liothyronine Sodium
     14 Lactated Ringers,"Ringer's Solution
     14 Granix,Tbo-Filgrastim
     14 Entresto,Sacubitril/Valsartan
     14 Compro,Prochlorperazine
     14 Clonidine,Clonidine
     14 Cisplatin,Cisplatin
     13 Vyndamax,Tafamidis
     13 Vemlidy,Tenofovir Alafenamide
     13 Tramadol Hcl Er,Tramadol Hcl
     13 Tadalafil,Tadalafil
     13 Remicade,Infliximab
     13 Opium Tincture,Opium Tincture
     13 Farxiga,Dapagliflozin Propanediol
     13 Erbitux,Cetuximab
     13 Carbamazepine,Carbamazepine
     13 Benztropine Mesylate,Benztropine Mesylate
     13 Basaglar Kwikpen U-100,"Insulin Glargine
     12 Udenyca,Pegfilgrastim-Cbqv
     12 Sodium Polystyrene Sulfonate,Sodium Polystyrene Sulfonate
     12 Rizatriptan,Rizatriptan Benzoate
     12 Qinlock,Ripretinib
     12 Paclitaxel Protein-Bound,Paclitaxel Protein-Bound
     12 Odomzo,Sonidegib Phosphate
     12 Memantine Hcl Er,Memantine Hcl
     12 Lacosamide,Lacosamide
     12 Janumet,Sitagliptin Phos/Metformin Hcl
     12 Gavreto,Pralsetinib
     12 Cefadroxil,Cefadroxil
     12 Ammonium Lactate,Ammonium Lactate
     11 Zykadia,Ceritinib
     11 Yervoy,Ipilimumab
     11 Tykerb,Lapatinib Ditosylate
     11 Trospium Chloride,Trospium Chloride
     11 Telmisartan,Telmisartan
     11 Nitroglycerin,Nitroglycerin
     11 Misoprostol,Misoprostol
     11 Metolazone,Metolazone
     11 Methenamine Hippurate,Methenamine Hippurate
     11 Lidocaine Hcl,Lidocaine Hcl
     11 Gemfibrozil,Gemfibrozil
     11 Flovent Hfa,Fluticasone Propionate
     11 Diltiazem Hcl,Diltiazem Hcl
     11 Dexilant,Dexlansoprazole
     11 Desvenlafaxine Succinate Er,Desvenlafaxine Succinate
     11 Buprenorphine-Naloxone,Buprenorphine Hcl/Naloxone Hcl
     11 Akynzeo,Netupitant/Palonosetron Hcl
     10 Valsartan-Hydrochlorothiazide,Valsartan/Hydrochlorothiazide
     10 Trintellix,Vortioxetine Hydrobromide
     10 Spironolactone-Hctz,Spironolact/Hydrochlorothiazid
     10 Prochlorperazine,Prochlorperazine
     10 Prednisolone,Prednisolone
     10 Phenobarbital,Phenobarbital
     10 Oxymorphone Hcl Er,Oxymorphone Hcl
     10 Nyamyc,Nystatin
     10 Novolog,Insulin Aspart
     10 Nilutamide,Nilutamide
     10 Methimazole,Methimazole
     10 Jevtana,Cabazitaxel
     10 Haloperidol,Haloperidol
     10 Granisetron Hcl,Granisetron Hcl/Pf
     10 Fluticasone-Salmeterol,Fluticasone Propion/Salmeterol
     10 Ferriprox (2 Times A Day),Deferiprone
     10 Fenofibrate,"Fenofibrate
     10 Divalproex Sodium Er,Divalproex Sodium
     10 Cromolyn Sodium,Cromolyn Sodium
     10 Cilostazol,Cilostazol
     10 Cerdelga,Eliglustat Tartrate
     10 Adakveo,Crizanlizumab-Tmca
      9 Verapamil Er,Verapamil Hcl
      9 Tazverik,Tazemetostat Hydrobromide
      9 Suprep,"Sodium
      9 Sulfasalazine,Sulfasalazine
      9 Soliris,Eculizumab
      9 Primidone,Primidone
      9 Oxcarbazepine,Oxcarbazepine
      9 Omega-3 Acid Ethyl Esters,Omega-3 Acid Ethyl Esters
      9 Nitrofurantoin,Nitrofurantoin Macrocrystal
      9 Lantus,"Insulin Glargine
      9 Lamivudine Hbv,Lamivudine
      9 Gazyva,Obinutuzumab
      9 Enhertu,Fam-Trastuzumab Deruxtecn-Nxki
      9 Doxorubicin Hcl,Doxorubicin Hcl
      9 Diclofenac Potassium,Diclofenac Potassium
      9 Dextroamphetamine-Amphet Er,Dextroamphetamine/Amphetamine
      9 Cyramza,Ramucirumab
      9 Clinisol,Parenteral Amino Acid 15% No.5
      9 Calcitonin-Salmon,"Calcitonin
      9 Biktarvy,Bictegrav/Emtricit/Tenofov Ala
      9 Atrovent Hfa,Ipratropium Bromide
      9 Atropine Sulfate,Atropine Sulfate
      8 Zolinza,Vorinostat
      8 Tretinoin,Tretinoin
      8 Tepmetko,Tepotinib Hcl
      8 Talzenna,Talazoparib Tosylate
      8 Sulindac,Sulindac
      8 Sodium Fluoride,Fluoride (Sodium)
      8 Prempro,"Estrogen
      8 Ipol,"Poliomyelitis Vaccine
      8 Insulin Syringe,"Syringe And Needle
      8 Imvexxy,Estradiol
      8 Gavilyte-G,"Peg3350/Sod Sulf
      8 Ferriprox (3 Times A Day),Deferiprone
      8 Empliciti,Elotuzumab
      8 Cimetidine,Cimetidine
      8 Cholestyramine Light,Cholestyramine/Aspartame
      8 Cevimeline Hcl,Cevimeline Hcl
      8 Budesonide Ec,Budesonide
      8 Brilinta,Ticagrelor
      8 Bisoprolol Fumarate,Bisoprolol Fumarate
      7 Zoladex,Goserelin Acetate
      7 Wixela Inhub,Fluticasone Propion/Salmeterol
      7 Vonjo,Pacritinib Citrate
      7 Vectibix,Panitumumab
      7 Trexall,Methotrexate Sodium
      7 Tolterodine Tartrate,Tolterodine Tartrate
      7 Terconazole,Terconazole
      7 Ranolazine Er,Ranolazine
      7 Peg 3350-Electrolyte,Sodium Chloride/Nahco3/Kcl/Peg
      7 Ontruzant,Trastuzumab-Dttb
      7 Nystatin-Triamcinolone,Nystatin/Triamcinolone Acet
      7 Nucala,Mepolizumab
      7 Norethindrone Acetate,Norethindrone Acetate
      7 Nabumetone,Nabumetone
      7 Lokelma,Sodium Zirconium Cyclosilicate
      7 Libtayo,Cemiplimab-Rwlc
      7 Leukine,Sargramostim
      7 Koselugo,Selumetinib/Vitamin E Tpgs
      7 Hydrea,Hydroxyurea
      7 Humalog Kwikpen U-100,Insulin Lispro
      7 Gengraf,"Cyclosporine
      7 Gammaked,Immune Globul G/Gly/Iga Avg 46
      7 Fragmin,"Dalteparin Sodium
      7 Firmagon,Degarelix Acetate
      7 Exjade,Deferasirox
      7 Etoposide,Etoposide
      7 Dexlansoprazole Dr,Dexlansoprazole
      7 Capecitabine,Capecitabine
      7 Boostrix Tdap,"Diphth
      7 Azelastine Hcl,Azelastine Hcl
      7 Aromasin,Exemestane
      7 Aminocaproic Acid,Aminocaproic Acid
      6 Zoledronic Acid,Zoledronic Ac/Mannitol/0.9nacl
      6 Zaleplon,Zaleplon
      6 Xolair,Omalizumab
      6 Victoza 3-Pak,Liraglutide
      6 Valchlor,Mechlorethamine Hcl
      6 Tresiba Flextouch U-200,Insulin Degludec
